Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSC1187.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1187YTA-ND,KSC1187YTA,Fairchild Semiconductor,TRANS NPN 20V 0.03A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","30mA","20V","-","100nA (ICBO)","120 @ 2mA, 10V","250mW","700MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC1623.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSC1623OMTF-ND,KSC1623OMTF,Fairchild Semiconductor,TRANS NPN 50V 0.1A SOT-23,0,0,"Call","0","3000","Tape & Reel (TR)","-","Obsolete","NPN","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","90 @ 1mA, 6V","200mW","250MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSD227.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSD227GBU-ND,KSD227GBU,Fairchild Semiconductor,TRANS NPN 25V 0.3A TO-92,0,0,"Call","0","60000","Bulk","-","Obsolete","NPN","300mA","25V","400mV @ 30mA, 300mA","100nA (ICBO)","200 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSA539.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA539YTA-ND,KSA539YTA,Fairchild Semiconductor,TRANS PNP 45V 0.2A TO-92,0,0,"Call","0","8000","Tape & Box (TB)","-","Obsolete","PNP","200mA","45V","500mV @ 15mA, 150mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSA642.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA642YBU-ND,KSA642YBU,Fairchild Semiconductor,TRANS PNP 25V 0.3A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","PNP","300mA","25V","600mV @ 30mA, 300mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC815.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC815CYTA-ND,KSC815CYTA,Fairchild Semiconductor,TRANS NPN 45V 0.2A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","200mA","45V","400mV @ 15mA, 150mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC815.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC815COBU-ND,KSC815COBU,Fairchild Semiconductor,TRANS NPN 45V 0.2A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","200mA","45V","400mV @ 15mA, 150mA","100nA (ICBO)","70 @ 50mA, 1V","400mW","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSD227.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSD227YTA-ND,KSD227YTA,Fairchild Semiconductor,TRANS NPN 25V 0.3A TO-92,0,0,"Call","0","6000","Tape & Box (TB)","-","Obsolete","NPN","300mA","25V","400mV @ 30mA, 300mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/PN/PN2222.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",PN2222TFR-ND,PN2222TFR,Fairchild Semiconductor,TRANS NPN 30V 0.6A TO-92,0,0,"Call","0","18000","Tape & Reel (TR)","-","Obsolete","NPN","600mA","30V","1V @ 50mA, 500mA","10nA (ICBO)","100 @ 150mA, 10V","625mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSD227.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSD227YBU-ND,KSD227YBU,Fairchild Semiconductor,TRANS NPN 25V 0.3A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","300mA","25V","400mV @ 30mA, 300mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",PN2222ANLBU-ND,PN2222ANLBU,Fairchild Semiconductor,TRANS NPN 40V 1A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","1A","40V","1V @ 50mA, 500mA","10nA (ICBO)","100 @ 150mA, 10V","625mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",PN2222ATAR-ND,PN2222ATAR,Fairchild Semiconductor,TRANS NPN 40V 1A TO92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","1A","40V","1V @ 50mA, 500mA","10nA (ICBO)","100 @ 150mA, 10V","625mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/PN/PN2222.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",PN2222TAR-ND,PN2222TAR,Fairchild Semiconductor,TRANS NPN 30V 0.6A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","600mA","30V","1V @ 50mA, 500mA","10nA (ICBO)","100 @ 150mA, 10V","625mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSA642.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA642GBU-ND,KSA642GBU,Fairchild Semiconductor,TRANS PNP 25V 0.3A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","PNP","300mA","25V","600mV @ 30mA, 300mA","100nA (ICBO)","200 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSA642.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA642OBU-ND,KSA642OBU,Fairchild Semiconductor,TRANS PNP 25V 0.3A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","PNP","300mA","25V","600mV @ 30mA, 300mA","100nA (ICBO)","70 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSA539.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA539CYBU-ND,KSA539CYBU,Fairchild Semiconductor,TRANS PNP 45V 0.2A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","PNP","200mA","45V","500mV @ 15mA, 150mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSA642.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA642CYTA-ND,KSA642CYTA,Fairchild Semiconductor,TRANS PNP 25V 0.3A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","PNP","300mA","25V","600mV @ 30mA, 300mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSA642.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSA642CGBU-ND,KSA642CGBU,Fairchild Semiconductor,TRANS PNP 25V 0.3A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","PNP","300mA","25V","600mV @ 30mA, 300mA","100nA (ICBO)","200 @ 50mA, 1V","400mW","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC815.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC815YBU-ND,KSC815YBU,Fairchild Semiconductor,TRANS NPN 45V 0.2A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","200mA","45V","400mV @ 15mA, 150mA","100nA (ICBO)","120 @ 50mA, 1V","400mW","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC815.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC815OTA-ND,KSC815OTA,Fairchild Semiconductor,TRANS NPN 45V 0.2A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","200mA","45V","400mV @ 15mA, 150mA","100nA (ICBO)","70 @ 50mA, 1V","400mW","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC1845.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1845FBU-ND,KSC1845FBU,Fairchild Semiconductor,TRANS NPN 120V 0.05A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","50mA","120V","300mV @ 1mA, 10mA","50nA (ICBO)","300 @ 1mA, 6V","500mW","110MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
