Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12720-2-ND,BC51PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,3000,0,"0.08748","0","3000","Tape & Reel (TR)","-","Active","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12720-1-ND,BC51PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,2487,0,"0.41000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12720-6-ND,BC51PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12721-2-ND,BC52-10PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,3000,0,"0.08748","0","3000","Tape & Reel (TR)","-","Active","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12721-1-ND,BC52-10PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,3000,0,"0.41000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12721-6-ND,BC52-10PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12722-2-ND,BC52-16PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,3000,0,"0.08748","0","3000","Tape & Reel (TR)","-","Active","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12722-1-ND,BC52-16PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,3000,0,"0.41000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12722-6-ND,BC52-16PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12723-2-ND,BC52PASX,NXP USA Inc.,IC TRANS PNP 1A 60 SOT1061,3000,0,"0.08748","0","3000","Tape & Reel (TR)","-","Active","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
