Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
https://www.fairchildsemi.com/datasheets/FS/FSB560.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,FSB560ADKR-ND,FSB560A,Fairchild Semiconductor,TRANS NPN 60V 2A SSOT-3,2739,222000,"Calculate","0","1","Digi-Reel®","-","Active","NPN","2A","60V","300mV @ 200mA, 2A","100nA (ICBO)","250 @ 500mA, 2V","500mW","75MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
https://www.fairchildsemi.com/datasheets/BD/BD175.pdf,//media.digikey.com/photos/Fairchild%20Semi%20Photos/MJE350STU.JPG,BD17910STU-ND,BD17910STU,Fairchild Semiconductor,TRANS NPN 80V 3A TO-126,2720,0,"0.48000","0","1","Tube","-","Active","NPN","3A","80V","800mV @ 100mA, 1A","100µA (ICBO)","63 @ 150mA, 2V","30W","3MHz","150°C (TJ)","Through Hole","TO-225AA, TO-126-3","TO-126"
http://diodes.com/_files/datasheets/DSM80100M.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,DSM80100M-7DITR-ND,DSM80100M-7,Diodes Incorporated,TRANS PNP 80V 0.5A SOT26,0,0,"0.13200","0","3000","Tape & Reel (TR)","-","Active","PNP + Diode (Isolated)","500mA","80V","250mV @ 10mA, 100mA","100nA (ICBO)","120 @ 10mA, 1V","600mW","-","-65°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://diodes.com/_files/datasheets/DSM80100M.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,DSM80100M-7DICT-ND,DSM80100M-7,Diodes Incorporated,TRANS PNP 80V 0.5A SOT26,2400,0,"0.48000","0","1","Cut Tape (CT)","-","Active","PNP + Diode (Isolated)","500mA","80V","250mV @ 10mA, 100mA","100nA (ICBO)","120 @ 10mA, 1V","600mW","-","-65°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://diodes.com/_files/datasheets/DSM80100M.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,DSM80100M-7DIDKR-ND,DSM80100M-7,Diodes Incorporated,TRANS PNP 80V 0.5A SOT26,2400,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP + Diode (Isolated)","500mA","80V","250mV @ 10mA, 100mA","100nA (ICBO)","120 @ 10mA, 1V","600mW","-","-65°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://www.diodes.com/_files/datasheets/ds31143.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,2DD1664RDITR-ND,2DD1664R-13,Diodes Incorporated,TRANS NPN 32V 1A SOT89-3,0,0,"0.13200","0","2500","Tape & Reel (TR)","-","Active","NPN","1A","32V","400mV @ 50mA, 500mA","100nA","180 @ 100mA, 3V","1W","280MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds31143.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,2DD1664RDICT-ND,2DD1664R-13,Diodes Incorporated,TRANS NPN 32V 1A SOT89-3,2344,0,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","1A","32V","400mV @ 50mA, 500mA","100nA","180 @ 100mA, 3V","1W","280MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds31143.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,2DD1664RDIDKR-ND,2DD1664R-13,Diodes Incorporated,TRANS NPN 32V 1A SOT89-3,2344,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","1A","32V","400mV @ 50mA, 500mA","100nA","180 @ 100mA, 3V","1W","280MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
https://www.fairchildsemi.com/datasheets/FS/FSB560.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,FSB560TR-ND,FSB560,Fairchild Semiconductor,TRANS NPN 60V 2A SSOT-3,0,3000,"0.10404","0","3000","Tape & Reel (TR)","-","Active","NPN","2A","60V","350mV @ 200mA, 2A","100nA (ICBO)","100 @ 500mA, 2V","500mW","75MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
https://www.fairchildsemi.com/datasheets/FS/FSB560.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,FSB560CT-ND,FSB560,Fairchild Semiconductor,TRANS NPN 60V 2A SSOT-3,2247,3000,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","2A","60V","350mV @ 200mA, 2A","100nA (ICBO)","100 @ 500mA, 2V","500mW","75MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
https://www.fairchildsemi.com/datasheets/FS/FSB560.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,FSB560DKR-ND,FSB560,Fairchild Semiconductor,TRANS NPN 60V 2A SSOT-3,2247,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","2A","60V","350mV @ 200mA, 2A","100nA (ICBO)","100 @ 500mA, 2V","500mW","75MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
http://www.diodes.com/_files/datasheets/ds31140.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,DXT3906-13DITR-ND,DXT3906-13,Diodes Incorporated,TRANS PNP 40V 0.2A SOT89-3,0,0,"0.13200","0","2500","Tape & Reel (TR)","-","Active","PNP","200mA","40V","400mV @ 5mA, 50mA","50nA (ICBO)","100 @ 10mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds31140.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,DXT3906-13DICT-ND,DXT3906-13,Diodes Incorporated,TRANS PNP 40V 0.2A SOT89-3,2076,0,"0.48000","0","1","Cut Tape (CT)","-","Active","PNP","200mA","40V","400mV @ 5mA, 50mA","50nA (ICBO)","100 @ 10mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds31140.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,DXT3906-13DIDKR-ND,DXT3906-13,Diodes Incorporated,TRANS PNP 40V 0.2A SOT89-3,2076,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","200mA","40V","400mV @ 5mA, 50mA","50nA (ICBO)","100 @ 10mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/SXTA42.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,SXTA42TR-ND,SXTA42TA,Diodes Incorporated,TRANS NPN 300V 0.5A SOT89,0,217000,"0.14400","0","1000","Tape & Reel (TR)","-","Active","NPN","500mA","300V","500mV @ 2mA, 20mA","100nA (ICBO)","40 @ 30mA, 10V","1W","50MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
